Rank,Name_1990,Frequency_1990,Name_2010,Frequency_2010
1,Business,102,Business Day,67
2,World,21,Sports,63
3,Opinion,15,Opinion,28
4,Sports,15,World,22
5,Arts,15,Arts,17
6,Style,10,New York and Region,8
7,New York and Region,10,U.S.,6
8,Technology; Business,9,Technology,5
9,Arts; Books,8,Books,5
10,World; Washington,7,Science,5
11,U.S.,6,Business,4
12,Front Page; Business,5,N.Y. / Region,3
13,Obituaries,4,Movies,3
14,Movies; Arts,4,Fashion & Style,3
15,Week in Review,3,Travel,3
16,World; Front Page,3,T:Style,3
17,Arts; Theater,2,Paid Death Notices,2
18,World; Education,2,Health,2
19,World; Front Page; Washington,2,Style,2
20,Home and Garden,2,Week in Review,2
21,Technology; Science; Health,2,Multimedia/Photos,2
22,World; Business; Magazine,2,Real Estate,2
23,Science; Health,2,Home & Garden,2
24,Theater; New York and Region,1,N.Y./Region,1
25,Health; New York and Region,1,Automobiles,1
26,Magazine,1,Obituaries,1
27,Movies; Front Page; Business,1,Your Money,1
28,Education; U.S.,1,Autos,1
29,Books; New York and Region,1,Crosswords/Games,1
30,Front Page; New York and Region,1,Magazine,1
31,Technology; Science; World,1,Food,1
32,Travel; Business,1,Great Homes & Destinations,1
33,Business; Opinion,1,Theater,1
34,Home and Garden; Style; Magazine,1,Crosswords & Games,1
