Name of restaurant,City,Countty Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
1 Abercrombie Lane,Sydney,Sydney,0,07,30,15,30
1 Abercrombie Lane,Sydney,Sydney,1,07,30,15,30
1 Abercrombie Lane,Sydney,Sydney,2,07,30,15,30
1 Abercrombie Lane,Sydney,Sydney,3,07,30,15,30
1 Abercrombie Lane,Sydney,Sydney,4,07,30,15,30
#1 Chicken Rice & Seafood,Houston,Houston,0,10,30,20,30
#1 Chicken Rice & Seafood,Houston,Houston,1,10,30,20,30
#1 Chicken Rice & Seafood,Houston,Houston,2,10,30,20,30
#1 Chicken Rice & Seafood,Houston,Houston,3,10,30,20,30
#1 Chicken Rice & Seafood,Houston,Houston,4,10,30,20,30
#1 Chicken Rice & Seafood,Houston,Houston,5,10,30,20,00
#1 Chinese Kitchen,San Jose,San Jose,0,11,00,21,00
#1 Chinese Kitchen,San Jose,San Jose,2,11,00,21,00
#1 Chinese Kitchen,San Jose,San Jose,3,11,00,21,00
#1 Chinese Kitchen,San Jose,San Jose,4,11,00,21,00
#1 Chinese Kitchen,San Jose,San Jose,5,11,00,21,00
#1 Chinese Kitchen,San Jose,San Jose,6,11,00,21,00
10' Custom Pizzeria,Braddon,Braddon,0,11,30,15,00
10' Custom Pizzeria,Braddon,Braddon,0,17,30,00,00
10' Custom Pizzeria,Braddon,Braddon,1,11,30,15,00
10' Custom Pizzeria,Braddon,Braddon,1,17,30,00,00
10' Custom Pizzeria,Braddon,Braddon,2,11,30,15,00
10' Custom Pizzeria,Braddon,Braddon,2,17,30,00,00
10' Custom Pizzeria,Braddon,Braddon,3,11,30,15,00
10' Custom Pizzeria,Braddon,Braddon,3,17,30,00,00
10' Custom Pizzeria,Braddon,Braddon,4,11,30,15,00
10' Custom Pizzeria,Braddon,Braddon,4,17,30,00,00
10' Custom Pizzeria,Braddon,Braddon,5,11,30,15,00
10' Custom Pizzeria,Braddon,Braddon,5,17,30,00,00
10' Custom Pizzeria,Braddon,Braddon,6,11,30,15,00
10' Custom Pizzeria,Braddon,Braddon,6,17,30,00,00
10 Greek Street,London,London,0,12,00,23,30
10 Greek Street,London,London,1,12,00,23,30
10 Greek Street,London,London,2,12,00,23,30
10 Greek Street,London,London,3,12,00,23,30
10 Greek Street,London,London,4,12,00,23,30
10 Greek Street,London,London,5,12,00,23,30
10 Greek Street,London,London,6,17,30,23,00
100% de Agave,Denver,Denver,0,11,00,22,00
100% de Agave,Denver,Denver,1,11,00,22,00
100% de Agave,Denver,Denver,2,11,00,22,00
100% de Agave,Denver,Denver,3,11,00,22,00
100% de Agave,Denver,Denver,4,11,00,23,00
